error_prefix	Error	Fout	Error	Fehler	Erreur	Errore	Erro	Hata	Błąd	خطأ
loading_interrupted	Loading interrupted	Laden onderbroken	Carga interrumpida	Laden unterbrochen	Chargement interrompu	Caricamento interrotto	Carregamento interrompido	Yükleme kesildi	Ładowanie przerwane	تم إيقاف التحميل
login_failed_prefix	Login failed	Inloggen mislukt	Inicio de sesión fallido	Anmeldung fehlgeschlagen	Échec de la connexion	Accesso non riuscito	Início de sessão falhou	Giriş başarısız	Logowanie nieudane	فشل تسجيل الدخول
cache_label	Cache	Cache	Caché	Cache	Cache	Cache	Cache	Önbellek	Pamięć podręczna	ذاكرة مؤقتة
testing_connection	Testing connection…	Verbinding testen…	Probando conexión…	Verbindung wird getestet…	Test de la connexion…	Test connessione…	A testar ligação…	Bağlantı test ediliyor…	Testowanie połączenia…	جارٍ اختبار الاتصال…
connection_ok	Connection OK	Verbinding OK	Conexión correcta	Verbindung OK	Connexion OK	Connessione OK	Ligação OK	Bağlantı başarılı	Połączenie OK	الاتصال ناجح
failed	Failed	Mislukt	Fallido	Fehlgeschlagen	Échec	Non riuscito	Falhou	Başarısız	Niepowodzenie	فشل
profile_intro	Add your own IPTV details. Nivaro does not provide a TV service.	Voeg je eigen IPTV-gegevens toe. Nivaro levert zelf geen tv-dienst.	Añade tus propios datos de IPTV. Nivaro no ofrece un servicio de TV.	Füge deine eigenen IPTV-Daten hinzu. Nivaro bietet selbst keinen TV-Dienst an.	Ajoutez vos propres informations IPTV. Nivaro ne fournit pas de service TV.	Aggiungi i tuoi dati IPTV. Nivaro non fornisce un servizio TV.	Adicione os seus próprios dados IPTV. O Nivaro não fornece um serviço de TV.	Kendi IPTV bilgilerinizi ekleyin. Nivaro bir TV hizmeti sağlamaz.	Dodaj własne dane IPTV. Nivaro nie świadczy usługi telewizyjnej.	أضف بيانات IPTV الخاصة بك. لا توفر Nivaro خدمة تلفاز.
profile_name	Profile name	Naam van profiel	Nombre del perfil	Profilname	Nom du profil	Nome profilo	Nome do perfil	Profil adı	Nazwa profilu	اسم الملف الشخصي
server_hint	Server, e.g. http://example:8080	Server, bijv. http://voorbeeld:8080	Servidor, p. ej. http://ejemplo:8080	Server, z. B. http://beispiel:8080	Serveur, par ex. http://exemple:8080	Server, es. http://esempio:8080	Servidor, ex. http://exemplo:8080	Sunucu, ör. http://ornek:8080	Serwer, np. http://przyklad:8080	الخادم، مثال: http://example:8080
username	Username	Gebruikersnaam	Usuario	Benutzername	Nom d’utilisateur	Nome utente	Nome de utilizador	Kullanıcı adı	Nazwa użytkownika	اسم المستخدم
password	Password	Wachtwoord	Contraseña	Passwort	Mot de passe	Password	Palavra-passe	Parola	Hasło	كلمة المرور
epg_url_optional	EPG URL (optional)	EPG-URL (optioneel)	URL de EPG (opcional)	EPG-URL (optional)	URL EPG (facultative)	URL EPG (opzionale)	URL EPG (opcional)	EPG URL'si (isteğe bağlı)	URL EPG (opcjonalny)	رابط EPG (اختياري)
external_subtitle_bridge	External subtitles (optional NAS bridge)	Externe ondertiteling (optionele NAS bridge)	Subtítulos externos (puente NAS opcional)	Externe Untertitel (optionale NAS-Bridge)	Sous-titres externes (passerelle NAS facultative)	Sottotitoli esterni (bridge NAS opzionale)	Legendas externas (bridge NAS opcional)	Harici altyazılar (isteğe bağlı NAS köprüsü)	Zewnętrzne napisy (opcjonalny most NAS)	ترجمة خارجية (جسر NAS اختياري)
bridge_url	Bridge URL	Bridge-URL	URL del puente	Bridge-URL	URL de la passerelle	URL bridge	URL da bridge	Köprü URL'si	URL mostu	رابط الجسر
bridge_token_optional	Bridge token (optional)	Bridge-token (optioneel)	Token del puente (opcional)	Bridge-Token (optional)	Jeton de passerelle (facultatif)	Token bridge (opzionale)	Token da bridge (opcional)	Köprü belirteci (isteğe bağlı)	Token mostu (opcjonalny)	رمز الجسر (اختياري)
profile_defaults	Default: automatic player · audio and subtitles follow the app language	Standaard: automatische speler · audio en ondertiteling volgen de app-taal	Predeterminado: reproductor automático · audio y subtítulos siguen el idioma de la app	Standard: automatischer Player · Audio und Untertitel folgen der App-Sprache	Par défaut : lecteur automatique · audio et sous-titres suivent la langue de l’application	Predefinito: lettore automatico · audio e sottotitoli seguono la lingua dell’app	Predefinição: leitor automático · áudio e legendas seguem o idioma da aplicação	Varsayılan: otomatik oynatıcı · ses ve altyazı uygulama dilini izler	Domyślnie: automatyczny odtwarzacz · audio i napisy zgodne z językiem aplikacji	الافتراضي: مشغّل تلقائي · الصوت والترجمة يتبعان لغة التطبيق
test_connection	Test connection	Verbinding testen	Probar conexión	Verbindung testen	Tester la connexion	Testa connessione	Testar ligação	Bağlantıyı test et	Testuj połączenie	اختبار الاتصال
picture_in_picture	Picture-in-Picture	Beeld-in-beeld	Imagen en imagen	Bild-in-Bild	Image dans l’image	Picture-in-Picture	Imagem em imagem	Resim içinde resim	Obraz w obrazie	صورة داخل صورة
about_version_notes	Complete localization for all supported languages, persistent library paging and vertical grids.	Volledige lokalisatie voor alle ondersteunde talen, blijvende bibliotheekpaging en verticale grids.	Localización completa para todos los idiomas compatibles, paginación persistente y cuadrículas verticales.	Vollständige Lokalisierung für alle unterstützten Sprachen, persistentes Bibliotheks-Paging und vertikale Raster.	Localisation complète pour toutes les langues prises en charge, pagination persistante de la bibliothèque et grilles verticales.	Localizzazione completa per tutte le lingue supportate, paging persistente della libreria e griglie verticali.	Localização completa para todos os idiomas suportados, paginação persistente da biblioteca e grelhas verticais.	Desteklenen tüm diller için tam yerelleştirme, kalıcı kitaplık sayfalama ve dikey ızgaralar.	Pełna lokalizacja dla wszystkich obsługiwanych języków, trwałe stronicowanie biblioteki i pionowe siatki.	توطين كامل لجميع اللغات المدعومة، وتقسيم صفحات المكتبة بشكل دائم، وشبكات عمودية.
next	Next	Hierna	A continuación	Danach	Ensuite	Dopo	A seguir	Sonraki	Następnie	التالي
epg_loading	Loading EPG…	EPG laden…	Cargando EPG…	EPG wird geladen…	Chargement de l’EPG…	Caricamento EPG…	A carregar EPG…	EPG yükleniyor…	Ładowanie EPG…	جارٍ تحميل EPG…
audio	Audio	Audio	Audio	Audio	Audio	Audio	Áudio	Ses	Audio	الصوت
