profile	Profil	Profil	Profilo	Perfil	Profil	Profil	الملف الشخصي
home	Startseite	Accueil	Home	Início	Ana sayfa	Start	الرئيسية
live	Live	Direct	Live	Ao vivo	Canlı	Na żywo	مباشر
epg	TV-Programm	Guide TV	Guida TV	Guia TV	TV rehberi	Program TV	دليل التلفاز
movies	Filme	Films	Film	Filmes	Filmler	Filmy	الأفلام
series	Serien	Séries	Serie	Séries	Diziler	Seriale	المسلسلات
genre	Genre	Genre	Genere	Género	Tür	Gatunek	النوع
sort	Sortieren	Trier	Ordina	Ordenar	Sırala	Sortuj	ترتيب
all	Alle	Tout	Tutto	Tudo	Tümü	Wszystko	الكل
choose_category	Kategorie auswählen…	Choisir une catégorie…	Scegli una categoria…	Escolher uma categoria…	Kategori seç…	Wybierz kategorię…	اختر فئة…
search_all	Live-TV, Filme und Serien durchsuchen	Rechercher dans le direct, les films et les séries	Cerca in TV in diretta, film e serie	Pesquisar TV ao vivo, filmes e séries	Canlı TV, film ve dizilerde ara	Szukaj w TV na żywo, filmach i serialach	البحث في البث المباشر والأفلام والمسلسلات
search_everywhere	Überall suchen	Rechercher partout	Cerca ovunque	Pesquisar em todo o lado	Her yerde ara	Szukaj wszędzie	البحث في كل مكان
search_channel	Sender im TV-Programm suchen	Rechercher une chaîne dans le guide TV	Cerca canale nella guida TV	Pesquisar canal no guia TV	TV rehberinde kanal ara	Szukaj kanału w programie TV	البحث عن قناة في دليل التلفاز
play	Abspielen	Lire	Riproduci	Reproduzir	Oynat	Odtwórz	تشغيل
episodes	Episoden	Épisodes	Episodi	Episódios	Bölümler	Odcinki	الحلقات
info	Info	Infos	Info	Informação	Bilgi	Informacje	معلومات
movie	Film	Film	Film	Filme	Film	Film	فيلم
episode	Episode	Épisode	Episodio	Episódio	Bölüm	Odcinek	حلقة
live_tv	Live-TV	TV en direct	TV in diretta	TV ao vivo	Canlı TV	TV na żywo	تلفاز مباشر
continue	Weiterschauen	Continuer à regarder	Continua a guardare	Continuar a ver	İzlemeye devam et	Oglądaj dalej	متابعة المشاهدة
recent_live	Zuletzt live	Direct récent	Live recenti	Direto recente	Son canlı yayınlar	Ostatnio na żywo	البث المباشر الأخير
favorites	Meine Favoriten	Mes favoris	I miei preferiti	Os meus favoritos	Favorilerim	Moje ulubione	مفضلاتي
recommended	Für dich empfohlen	Recommandé pour vous	Consigliati per te	Recomendado para si	Sizin için önerilenler	Polecane dla Ciebie	موصى به لك
new_added	Kürzlich hinzugefügt	Ajouté récemment	Aggiunti di recente	Adicionados recentemente	Yeni eklenenler	Ostatnio dodane	أضيف مؤخراً
loading	Laden…	Chargement…	Caricamento…	A carregar…	Yükleniyor…	Ładowanie…	جارٍ التحميل…
connecting	Verbindung wird hergestellt…	Connexion…	Connessione…	A ligar…	Bağlanıyor…	Łączenie…	جارٍ الاتصال…
